gene,train_data,classes_present,class_counts,accuracy,precision_1,recall_1,f1_score_1,precision_2,recall_2,f1_score_2,precision_4,recall_4,f1_score_4,precision_5,recall_5,f1_score_5,feature_importances,top_features,Total Category 3 Instances,Category 2,Category 5,Category 1
rpoB,"(109, 15)",[2. 5. 1. 4.],"{2.0: 80, 1.0: 23, 5.0: 5, 4.0: 1}",0.9393939393939394,0.6,1.0,0.75,1.0,0.9310344827586207,0.9642857142857143,,,,1.0,1.0,1.0,"[0.36820580557230936, 0.2961034355663158, 0.20731917087279148, 0.12837158798858336]","[('frequency', 0.36820580557230936), ('Proximity_to_R_Conferring', 0.2961034355663158), ('aa_index_dist', 0.20731917087279148), ('llr_score', 0.12837158798858336)]",686,391.0,283.0,12.0
katG,"(7, 16)",[5. 1. 2.],"{1.0: 4, 5.0: 2, 2.0: 1}",0.6666666666666666,0.6666666666666666,1.0,0.8,,,,,,,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",832,,,832.0
embB,"(21, 16)",[5. 1. 4.],"{1.0: 13, 5.0: 5, 4.0: 3}",0.42857142857142855,0.42857142857142855,1.0,0.6,,,,0.0,0.0,0.0,0.0,0.0,0.0,"[0.4748603351955307, 0.2569832402234637, 0.1564245810055866, 0.11173184357541899]","[('frequency', 0.4748603351955307), ('Proximity_to_R_Conferring', 0.2569832402234637), ('aa_index_dist', 0.1564245810055866), ('llr_score', 0.11173184357541899)]",763,,,763.0
pncA,"(217, 16)",[1. 2. 4.],"{1.0: 110, 2.0: 94, 4.0: 13}",0.7121212121212122,0.6285714285714286,0.7857142857142857,0.6984126984126984,0.7931034482758621,0.6388888888888888,0.7076923076923077,1.0,1.0,1.0,,,,"[0.429095539393988, 0.13387205402566626, 0.16195686887331148, 0.2750755377070343]","[('frequency', 0.429095539393988), ('llr_score', 0.2750755377070343), ('aa_index_dist', 0.16195686887331148), ('Proximity_to_R_Conferring', 0.13387205402566626)]",147,8.0,,139.0
gyrA,"(39, 16)",[5. 4. 1. 2.],"{1.0: 18, 5.0: 15, 4.0: 4, 2.0: 2}",0.75,0.8333333333333334,1.0,0.9090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,"[0.5560069629969359, 0.34537369858888706, 0.07184448961907895, 0.026774848795098154]","[('frequency', 0.5560069629969359), ('Proximity_to_R_Conferring', 0.34537369858888706), ('aa_index_dist', 0.07184448961907895), ('llr_score', 0.026774848795098154)]",797,,663.0,134.0
gid,"(12, 16)",[1. 2. 5.],"{1.0: 6, 2.0: 3, 5.0: 3}",0.5,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,,,,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",498,,,498.0
ethA,"(9, 16)",[2. 1.],"{2.0: 8, 1.0: 1}",0.6666666666666666,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,,,,,,,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",558,558.0,,
atpE,"(6, 16)",[2.],{2.0: 6},1.0,,,,1.0,1.0,1.0,,,,,,,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",9,9.0,,
Rv0678,"(16, 16)",[2. 1.],"{2.0: 14, 1.0: 2}",1.0,,,,1.0,1.0,1.0,,,,,,,"[0.24324324324324326, 0.1891891891891892, 0.35135135135135137, 0.21621621621621623]","[('aa_index_dist', 0.35135135135135137), ('frequency', 0.24324324324324326), ('llr_score', 0.21621621621621623), ('Proximity_to_R_Conferring', 0.1891891891891892)]",274,274.0,,
gyrB,"(24, 16)",[5. 2. 1.],"{2.0: 12, 5.0: 8, 1.0: 4}",1.0,,,,1.0,1.0,1.0,,,,1.0,1.0,1.0,"[0.4640235371445135, 0.2922768912283863, 0.18343883273180925, 0.06026073889529097]","[('frequency', 0.4640235371445135), ('Proximity_to_R_Conferring', 0.2922768912283863), ('aa_index_dist', 0.18343883273180925), ('llr_score', 0.06026073889529097)]",554,554.0,,
