gene,train_data,classes_present,class_counts,accuracy,precision_1,recall_1,f1_score_1,precision_2,recall_2,f1_score_2,feature_importances,top_features,Total Category 3 Instances,Category 1
rpoB,"(109, 16)",[2. 5. 1. 4.],"{1: 103, 2: 6}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[0.34256089464963696, 0.5672482178788454, 0.028968688343214054, 0.061222199128303616]","[('Proximity_to_R_Conferring', 0.5672482178788454), ('frequency', 0.34256089464963696), ('llr_score', 0.061222199128303616), ('aa_index_dist', 0.028968688343214054)]",686,686
katG,"(7, 16)",[5. 1. 2.],"{1: 5, 2: 2}",0.6666666666666666,0.6666666666666666,1.0,0.8,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",832,832
embB,"(21, 16)",[5. 1. 4.],"{1: 13, 2: 8}",0.5714285714285714,0.5,1.0,0.6666666666666666,1.0,0.25,0.4,"[0.47752808988764045, 0.26404494382022475, 0.15168539325842698, 0.10674157303370788]","[('frequency', 0.47752808988764045), ('Proximity_to_R_Conferring', 0.26404494382022475), ('aa_index_dist', 0.15168539325842698), ('llr_score', 0.10674157303370788)]",763,763
pncA,"(217, 16)",[1. 2. 4.],"{1: 204, 2: 13}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[0.8535481403333385, 0.039227125659085586, 0.03783547621657437, 0.06938925779100165]","[('frequency', 0.8535481403333385), ('llr_score', 0.06938925779100165), ('Proximity_to_R_Conferring', 0.039227125659085586), ('aa_index_dist', 0.03783547621657437)]",147,147
gyrA,"(39, 16)",[5. 4. 1. 2.],"{1: 20, 2: 19}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[0.5782035408006903, 0.3258704206762244, 0.08492547429481793, 0.011000564228267557]","[('frequency', 0.5782035408006903), ('Proximity_to_R_Conferring', 0.3258704206762244), ('aa_index_dist', 0.08492547429481793), ('llr_score', 0.011000564228267557)]",797,797
gid,"(12, 16)",[1. 2. 5.],"{1: 9, 2: 3}",0.75,0.75,1.0,0.8571428571428571,0.0,0.0,0.0,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",498,498
ethA,"(9, 16)",[2. 1.],{1: 9},1.0,1.0,1.0,1.0,,,,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",558,558
atpE,"(6, 16)",[2.],{1: 6},1.0,1.0,1.0,1.0,,,,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",9,9
Rv0678,"(16, 16)",[2. 1.],{1: 16},1.0,1.0,1.0,1.0,,,,"[0.0, 0.0, 0.0, 0.0]","[('llr_score', 0.0), ('aa_index_dist', 0.0), ('Proximity_to_R_Conferring', 0.0), ('frequency', 0.0)]",274,274
gyrB,"(24, 16)",[5. 2. 1.],"{1: 16, 2: 8}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,"[0.47745952677459536, 0.3542667325118784, 0.05122655122655123, 0.11704718948697516]","[('frequency', 0.47745952677459536), ('Proximity_to_R_Conferring', 0.3542667325118784), ('llr_score', 0.11704718948697516), ('aa_index_dist', 0.05122655122655123)]",554,554
