model,mode,sensitivity,specificity,auc,accuracy,precision_res,recall_res,f1_res,threshold,n_samples,n_test,n_train,dataset,ablation,dropped_cols
logistic,holdout,0.923,0.667,0.808,0.875,0.923,0.923,0.923,0.706,159,32.0,127.0,Essential,keep_all,0
logistic,cv,0.9458461538461538,0.7714285714285715,0.8842490842490843,0.9125,0.9466436781609195,0.9458461538461538,0.9453262032085561,0.601,159,,,Essential,keep_all,0
rf,holdout,0.923,0.833,0.843,0.906,0.96,0.923,0.941,0.81,159,32.0,127.0,Essential,keep_all,0
rf,cv,0.9535384615384614,0.9380952380952381,0.938040293040293,0.95,0.9845925925925926,0.9535384615384614,0.967981517135156,0.73,159,,,Essential,keep_all,0
logistic,holdout,0.829,1.0,0.943,0.842,1.0,0.829,0.906,0.814,186,38.0,148.0,Nonessential,keep_all,0
logistic,cv,0.9117647058823529,0.5833333333333333,0.8397058823529411,0.881792318634424,0.9575893790117928,0.9117647058823529,0.9332533642721831,0.374,186,,,Nonessential,keep_all,0
rf,holdout,0.8,0.667,0.671,0.789,0.966,0.8,0.875,0.935,186,38.0,148.0,Nonessential,keep_all,0
rf,cv,0.8588235294117647,0.4333333333333333,0.7531862745098039,0.8221906116642959,0.9427352941176471,0.8588235294117647,0.8964017039789722,0.86,186,,,Nonessential,keep_all,0
logistic,holdout,0.933,0.889,0.894,0.928,0.982,0.933,0.957,0.644,345,69.0,276.0,Combined,keep_all,0
logistic,cv,0.8824858757062145,0.7488888888888889,0.9133835530445701,0.8637681159420291,0.9569470248780594,0.8824858757062145,0.9178963962961438,0.562,345,,,Combined,keep_all,0
rf,holdout,0.983,0.667,0.92,0.942,0.952,0.983,0.967,0.845,345,69.0,276.0,Combined,keep_all,0
rf,cv,0.9163841807909604,0.7022222222222223,0.9314124293785311,0.8869565217391304,0.9517862571535979,0.9163841807909604,0.9326688582951143,0.78,345,,,Combined,keep_all,0
logistic,holdout,0.885,0.833,0.833,0.875,0.958,0.885,0.92,0.735,159,32.0,127.0,Essential,drop_LLR,10
logistic,cv,0.9067692307692308,0.838095238095238,0.9073260073260073,0.8933467741935484,0.958608695652174,0.9067692307692308,0.9315658263305322,0.618,159,,,Essential,drop_LLR,10
rf,holdout,0.923,0.833,0.827,0.906,0.96,0.923,0.941,0.775,159,32.0,127.0,Essential,drop_LLR,10
rf,cv,0.9378461538461538,0.9380952380952381,0.9393772893772894,0.9372983870967742,0.9845925925925926,0.9378461538461538,0.9594781157746117,0.745,159,,,Essential,drop_LLR,10
logistic,holdout,0.686,1.0,0.914,0.711,1.0,0.686,0.814,0.693,186,38.0,148.0,Nonessential,drop_LLR,10
logistic,cv,0.8176470588235295,0.5166666666666667,0.7470588235294118,0.7907539118065434,0.9452873563218391,0.8176470588235295,0.8767857142857143,0.456,186,,,Nonessential,drop_LLR,10
rf,holdout,0.829,0.667,0.729,0.816,0.967,0.829,0.892,0.94,186,38.0,148.0,Nonessential,drop_LLR,10
rf,cv,0.8882352941176471,0.31666666666666665,0.6987745098039215,0.8386913229018493,0.9334460147695441,0.8882352941176471,0.9089465446242324,0.8,186,,,Nonessential,drop_LLR,10
logistic,holdout,0.95,0.667,0.863,0.913,0.95,0.95,0.95,0.462,345,69.0,276.0,Combined,drop_LLR,10
logistic,cv,0.8791525423728814,0.7866666666666667,0.8881167608286253,0.8666666666666666,0.9630358767068514,0.8791525423728814,0.918011171103443,0.577,345,,,Combined,drop_LLR,10
rf,holdout,0.983,0.667,0.9,0.942,0.952,0.983,0.967,0.845,345,69.0,276.0,Combined,drop_LLR,10
rf,cv,0.9398305084745763,0.6844444444444445,0.9094067796610169,0.9043478260869566,0.9504304467173131,0.9398305084745763,0.943703838661321,0.715,345,,,Combined,drop_LLR,10
logistic,holdout,0.923,0.833,0.891,0.906,0.96,0.923,0.941,0.779,159,32.0,127.0,Essential,drop_Rosetta,6
logistic,cv,0.9529230769230768,0.738095238095238,0.8994945054945056,0.9125,0.9399815965033357,0.9529230769230768,0.945737246680643,0.506,159,,,Essential,drop_Rosetta,6
rf,holdout,0.962,0.833,0.833,0.938,0.962,0.962,0.962,0.83,159,32.0,127.0,Essential,drop_Rosetta,6
rf,cv,0.9458461538461538,0.9047619047619048,0.938040293040293,0.9375,0.9777142857142858,0.9458461538461538,0.9593944282204607,0.725,159,,,Essential,drop_Rosetta,6
logistic,holdout,0.6,1.0,0.876,0.632,1.0,0.6,0.75,0.871,186,38.0,148.0,Nonessential,drop_Rosetta,6
logistic,cv,0.7999999999999999,0.4999999999999999,0.7666666666666666,0.7738264580369844,0.946607024452293,0.7999999999999999,0.8632424395727183,0.452,186,,,Nonessential,drop_Rosetta,6
rf,holdout,0.657,0.333,0.595,0.632,0.92,0.657,0.767,0.93,186,38.0,148.0,Nonessential,drop_Rosetta,6
rf,cv,0.8411764705882353,0.3666666666666666,0.6700980392156863,0.8005689900426743,0.9367719426542955,0.8411764705882353,0.8836027192868828,0.855,186,,,Nonessential,drop_Rosetta,6
logistic,holdout,0.95,0.778,0.93,0.928,0.966,0.95,0.958,0.572,345,69.0,276.0,Combined,drop_Rosetta,6
logistic,cv,0.8355367231638418,0.7688888888888888,0.9116698053986187,0.826086956521739,0.9578233618233618,0.8355367231638418,0.8923625402572771,0.603,345,,,Combined,drop_Rosetta,6
rf,holdout,0.95,0.778,0.916,0.928,0.966,0.95,0.958,0.835,345,69.0,276.0,Combined,drop_Rosetta,6
