feature,importance_Essential,rank_Essential,importance_Nonessential,rank_Nonessential,importance_Combined,rank_Combined
AAIndex_mut1,0.014295298642814525,21,0.05078430141312695,19,0.014572167603913786,19
AAIndex_mut2,0.017737003826936208,16,0.003306098059106034,25,0.012447013883619991,21
AAIndex_mut3,0.013468767191347096,22,0.09925615980953151,16,0.023467500480997463,17
AAIndex_mut4,0.01667297443446474,17,0.01350932790900684,24,0.009324490495602073,24
AAIndex_mut5,0.008920081972103077,25,0.04212685840725803,21,0.011325501800805679,22
AAIndex_mut6,0.014869887892605025,20,0.018853167517734994,23,0.010556290562593608,23
AAIndex_mut7,0.011758028606051574,23,0.09636798329207158,17,0.008888642156144872,25
AAIndex_mut8,0.009474417435345604,24,0.06778320250723001,18,0.014285365266267643,20
LLR_dim124,0.02522893288881262,7,11.594131135334134,3,0.030393922853761877,12
LLR_dim192,0.015972354171309894,18,5.268067712463852,6,0.02157171239058813,18
LLR_dim207,0.02136254343606872,13,2.164270641932785,10,0.042172090408418544,5
LLR_dim258,0.023782846088740827,10,14.62425779239555,1,0.03201728193573992,11
LLR_dim267,0.023937079341099916,9,12.295268653168057,2,0.03271118669232863,9
LLR_dim315,0.023755221974737263,11,5.270380464414946,5,0.03259525494506213,10
LLR_dim33,0.01536459972510172,19,9.798316949361448,4,0.028467572558254602,14
LLR_dim46,0.02252086377119797,12,2.211573558326291,9,0.0378295369195673,7
LLR_dim62,0.024163705613081524,8,2.2480642106869997,8,0.036086464802139805,8
LLR_dim70,0.020236319344675513,15,3.132995764473815,7,0.024557018224304977,16
Prox_3D_zeroed,0.42792576134238375,1,0.338749749066553,12,0.29561575724295486,1
Rosetta_ddG,0.03930074819926903,3,0.050634582849199326,20,0.06798980416342383,3
Rosetta_fa_atr,0.02028922231354484,14,0.1539691189443662,14,0.04612738980481577,4
Rosetta_fa_dun,0.02805390217548936,5,0.42630154174265034,11,0.027034259362253905,15
Rosetta_fa_elec,0.1025811465901281,2,0.22861118138265996,13,0.06883503469087852,2
Rosetta_fa_rep,0.02613937086297102,6,0.022733466114912598,22,0.041875355065684204,6
Rosetta_fa_sol,0.03218892215972009,4,0.142835242504151,15,0.02925338568987781,13
