model,mode,sensitivity,specificity,auc,threshold,n_samples,dataset
logistic,holdout,0.897,1.0,0.978,0.68,184,Essential
logistic,cv,0.8953201970443349,0.975,0.9629173508483854,avg-J,184,Essential
ridge,holdout,0.897,1.0,0.978,0.68,184,Essential
ridge,cv,0.8953201970443349,0.975,0.9629173508483854,avg-J,184,Essential
rf,holdout,1.0,1.0,1.0,0.72,184,Essential
rf,cv,0.9862068965517242,1.0,0.9974137931034482,avg-J,184,Essential
logistic,holdout,0.857,1.0,0.952,0.514,186,Nonessential
logistic,cv,0.876470588235294,0.8166666666666667,0.8127450980392157,avg-J,186,Nonessential
ridge,holdout,0.857,1.0,0.952,0.514,186,Nonessential
ridge,cv,0.876470588235294,0.8166666666666667,0.8127450980392157,avg-J,186,Nonessential
rf,holdout,0.971,0.667,0.795,0.83,186,Nonessential
rf,cv,0.7058823529411764,0.8833333333333332,0.7772058823529412,avg-J,186,Nonessential
logistic,holdout,0.952,0.833,0.882,0.402,370,Combined
logistic,cv,0.9261648745519713,0.7984848484848486,0.8857957454731646,avg-J,370,Combined
ridge,holdout,0.952,0.833,0.882,0.402,370,Combined
ridge,cv,0.9261648745519713,0.7984848484848486,0.8857957454731646,avg-J,370,Combined
rf,holdout,0.968,0.917,0.92,0.775,370,Combined
rf,cv,0.919610855094726,0.8651515151515152,0.9078329376716473,avg-J,370,Combined
